Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/178,-69.397,359.96686,150.3,-1.669,34.396,31.4,0.429268
PS71/178,-69.397,359.96686,179.7,-1.639,34.408001,31.32,0.273171
PS71/178,-69.397,359.96686,199.5,-1.398,34.43,,
PS71/178,-69.397,359.96686,199.7,-1.552,34.422001,31.540001,0.292683
PS71/178,-69.397,359.96686,199.9,-1.542,34.405998,,
PS71/178,-69.397,359.96686,200.0,-1.542,34.405998,,
PS71/178,-69.397,359.96686,200.0,-1.54,34.405998,,
PS71/178,-69.397,359.96686,200.0,-1.54,34.405998,,
PS71/178,-69.397,359.96686,200.0,,,,
PS71/178,-69.397,359.96686,200.4,-1.557,34.424,,
PS71/178,-69.397,359.96686,200.4,-1.542,34.424999,,
PS71/178,-69.397,359.96686,299.8,-0.233,34.542,32.389999,0.62439
PS71/178,-69.397,359.96686,300.5,-0.518,34.515999,,
PS71/178,-69.397,359.96686,399.8,0.506,34.624001,,
PS71/178,-69.397,359.96686,400.3,0.506,34.624001,,
PS71/178,-69.397,359.96686,450.8,0.692,34.651001,32.650002,0.166829
PS71/178,-69.397,359.96686,470.6,0.557,34.639999,,
PS71/178,-69.397,359.96686,498.6,0.522,34.647999,,
PS71/178,-69.397,359.96686,499.1,0.517,34.647999,,
PS71/178,-69.397,359.96686,499.1,0.518,34.647999,,
PS71/178,-69.397,359.96686,499.2,0.519,34.647999,,
